a;3;Which of the following does NOT exist in Middle-earth?;Black Mountains;Blue Mountains;Red Mountains;White Mountains;A
abcdiqtv;3;Of what race is Gandalf?;Vala;Maia;Man;Elf;B
abcgtx;4;Which dwarves of the Hobbit also actively play a role in the Lord of the Rings storyline?;Gloin;Balin;Óin;None of them do.;D
abchjt;3;Which other Hobbit family's blood has Bilbo inherited that is cause of his adventurous traits?;Brandybuck;Sackville;Took;Bolger;C
abchjtx;1;Which Shire town is located at a lake?;Bywater
abchjtx;3;What is the name of the story Bilbo wrote about his adventures?;The Hobbit by Bilbo Baggins;The Silmarillion by Bilbo Baggins;A Hobbits Tale by Bilbo Baggins;Into the West by Bilbo Baggins;C
abchkltx;3;What is the name of Bilbo's blade that he passed on to Frodo?;Grima;Fang;Sting;Glamdring;C
abchltx;1;What was Gollum's favourite food?;Fish
abcikt;3;What is the name of Gandalf's sword which he found in a Troll cave?;Glamdring;Herugrim;Andúril;Durthang;A
abclmptx;3;What did some Orcs ride on?;Múmakil;Mearas;Wargs;Fellbeasts;C
abdefitu;3;What marked the start of the Third Age?;The Disaster of the Gladden Fields when Isildur was killed and the Ring was lost;The foundation of Gondor and Arnor;The Battle of the Last Alliance of Elves and Men;The Forging of the Rings of Power;C
abdefsv;1;Who falls in love with Lúthien?;Beren
abdeinout;3;Minas Morgul had a different name before it got corrupted, what was it?;Minas Númen;Minas Ithil;Minas Ungol;Minas Morgulduin;B
abdenutx;3;Traveling down the Anduin, the Fellowship saw the statues of two great men. Where were they born?;Gondor;Rohan;Arnor;Númenor;D
abderux;3;Westernesse is another name for which land?;Arnor;Valinor;Númenor;Gondor;C
abdfikoux;2;How many Rings of Power were forged in the Second Age?;20;0
abdfikux;3;Where were the Three, Seven and Nine Rings forged?;Ost-in-Edhil;Rivendell;Mount Doom;Tharbad;A
abdfx;3;Barring an unfortunate end, roughly how long do Elves live?;About 2000 to 3000 years;Forever;It largely depeds on the stem, e.g. High Elves live much longer than Woodelves;About 4000 to 6000 years;B
abdikorstuvx;3;What kind of creature is Sauron?;Elf;Vala;Maia;Istar;C
abdio;3;Who crafted the One Ring?;Saruman;Gollum;Sauron;Celebrimbor;C
abdiotux;3;Where on most Middle-earth maps is Mordor located?;Northwest;Northeast;Southeast;Southwest;C
abdiotx;1;Who created the One Ring?;Sauron
abdiou;3;In which Age was the One Ring forged?;First Age;Second Age;Third Age;Fourth Age;B
abdioux;3;Where did Sauron forge the One Ring?;The forge of Ost-in-Edhil;Mount Doom;The Mines of Moria;Rivendell;B
abdtx;3;In which Age does The Lord of the Rings take place?;First Age;Second Age;Third Age;Fourth Age;C
abefghiltx;1;True or false: In Rivendell the seven members of the Fellowship of the Ring are selected.;false
abefghiltx;2;How many members does the Fellowship of the Ring count?;9;0
abefghiltx;3;How did the Fellowship at last cross the Misty Mountains?;By the Pass of Caradhras;Through the Gap of Rohan;By the High Pass;Through the Mines of Moria;D
abefghiltx;3;Who is not a member of The Fellowship of the Ring?;Boromir;Faramir;Gimli;Legolas;B
abefghlt;3;After fleeing the Minas of Moria, the Fellowship went directly to...;Rivendell;Mirkwood;Lothlórien;Argonath;C
abefghltx;3;Which Elf lead the Fellowship blindfolded to the Lord Celeborn and the Lady Galadriel in Lothlórien?;Amdír;Haldir;Celeborn;Amroth;B
abefghlx;1;True or false:The fellowship used boats to sail down the river Celebrant.;false
abefgmnt;3;How many persons entered in the Book the Paths of the Dead?;3;5;30;35;D
abefgmnt;3;What was the name of the group of people that went to see the King of the Dead?;The Fellowship of the Ring;The Grey Company;The Host of the Heir of Isildur;They had no specific name;B
abefgmt;3;Aragorn, Gimli and Legolas pursued the Orcs across...;The Plains of Rohan;The Gladden Fields;The Fields of Pelennor;The Plains of Gorgoroth;A
abefgmtxy;1;Fill in the gap! "What [...] does an elf, a man, and a dwarf have in the Riddermark?" - Éomer;business
abefgnt;3;What is the title of the song that Aragorn & Co. sang as they let Boromir drift down the Anduin?;Lament of the Sea;Lament of the Wind;Song of Eldamar;Song of the Undying Lands;B
abefgntx;1;True or false: Legolas, Gimli and Arathorn dare to enter the Paths of the Dead.;false
abefhktvx;3;What is the name of the mortal man loving the Elf Lúthien in Aragorns song on Weathertop?;Beorn;Beregond;Beren;Beleg;C
abefintx;3;Who of the following did not look into the Palantír of Orthanc?;Saruman;Aragorn;Pippin;Gandalf;D
abeflntx;1;What is the name of the daughter of Elrond who eventually marries Aragorn?;Arwen
abeflntx;3;What is the meaning of Andúril, the sword of Aragorn?;Iron Cleaver;Flame of the West;King's Ire;Red Flame;B
abeflt;4;What gift(s) did Aragorn get from Galadriel when he left Lothlórien with the Fellowship?;Nothing;A weapon;A jewel;A ring;BC
abefltux;1;What was the name out of whose pieces Andúril was forged?;Narsil
abefltxy;3;In the movie, who says "Minlû pedich nin i aur hen telitha - You told me once this day would come."?;Arwen;Galadriel;Elrond;Aragorn;D
abefmtx;3;Who brought Aragorn a message concerning the Paths of the Dead from Elrond?;Elrohir;Arwen;Gandalf;Galadriel;A
abefmtxy;3;In the movie, who says "Put aside the Ranger. Become who you were born to be."?;Arwen;Boromir;Gandalf;Elrond;D
abefnt;3;On which day in the year 3019 T.A. did the wedding of Arwen and Aragorn take place?;Mid-year's day;Midsummer's Eve;First day of Spring;Last day of Winter;A
abefntx;3;At the end of The Return of the King, who does Aragorn marry?;Éowyn;Galadriel;Rosie;Arwen;D
abefntxy;3;In the movie, who says "This is Aragorn, son of Arathorn. You owe him your allegiance."?;Boromir;Frodo;Galadriel;Legolas;D
abegilt;4;Which of the following had already entered Moria at least once before they did with the Fellowship?;Gandalf;Boromir;Aragorn;Gimli;AC
abehjt;3;At which river were the Nazgûl seen crossing on midsummer's eve to gather Frodo?;Isen;Norbourn;Anduin;Brandywine;D
abehjt;3;On which road do the Hobbits encounter a Ringwraith for the first time?;Great East Road;Bywater Road;Hill Road;Stock Road;D
abehjt;3;While Frodo, Sam and Pippin were travelling to Crickhollow, what passed them by as they slept?;A Nazgûl; A fox; A rabbit; A deer;B
abehkot;2;From the moment of its creation, to the time of its destruction, how many people touch the One Ring?;9;1
abehkot;2;From the moment of its creation, to the time of its destruction, how many people wear the One Ring?;7;1
abehkt;3;What does Frodo say when explaining his journey's purpose in the Prancing Pony gets inevitable?;He wants to visit Bilbo in Rivendell for celebriting his 130th birthday.;He wants to write a book about Hobbits living in other parts of Middle-earth.;He accompanies Sam researching on the plants of Eriador;He insists that his plans are his own business and does not tell.;B
abehkt;3;What food does Sam throw at Bill Ferny as the hobbits leave Bree with Strider?;Bread;Apple;Tomato;Fish;B
abehkt;4;Which of the following towns are located in the Breeland?;Standelf;Stock;Staddle;Scary;C
abehktx;3;On Weathertop, which type of blade is Frodo stabbed with?;Mordor-Blade;Nazgûl-Blade;Morgul-Blade;Angmar-Blade;C
abehktx;3;What is the name of the Inn where Frodo meets Strider for the first time?;The Golden Perch;The Floating Log Inn;The Old Guesthouse;The Prancing Pony;D
abehktx;3;Where did Aragorn and Frodo meet for the first time?;Bagend;The Green Dragon;The Prancing Pony;Weathertop;C
abehktx;3;Which river did Frodo and Co. have to cross to reach Rivendell?;Gwathló;Glanduin;Sirannon;Bruinen;D
abehktx:3;What medicinal plant does Strider have Sam find after Frodo is stabbed at Weathertop?;Alfirin;Aeglos;Asphodel;Athelas;D
abehltxy;3;Who says "Give them a moment for pity's sake!"?;Aragorn;Legolas;Boromir;Gimli;C
abehnt;3;In Minas Tirith Pippin befriends a Guard of the Citadel. What is his name?;Bergil;Beregond;Belecthor;Boromir;B
abehnt;3;What did Faramir give to Frodo and Sam at their parting?;Walking staffs;Warm cloaks;Waybread;A flask of miruvor;A
abehnt;3;What do the healers name the affliction Merry and Éowyn got in the Battle of the Pelennor Fields?;The Dark Breath;The Black Shadow;The Wraith Sickness;The Malady of the Nazgûl;B
abehnt;3;What is the name of the Ranger of Ithilien who captures Gollum?;Boromir;Haldir;Halbarad;Anborn;D
abehnt;3;Which of these persons was NOT cured in the Houses of Healing?;Éowyn;Merry;Frodo;Faramir;C
abehnt;3;Who does inform Frodo about the death of Boromir?;Denethor;Aragorn;Gandalf;Faramir;D
abehntx;3;Who swears an oath to serve as a knight of Gondor?;Gorbag;Gimli;Dernhelm;Pippin;D
abehntx;3;Who tried to take the One Ring from Frodo?;Sam;Boromir;Aragorn;Galadriel;B
abehntx;3;Who was made a "Knight of the City"?;Sam;Frodo;Merry;Pippin;D
abehntxy;1;Fill in the gap! "My friends… You [...] to no one" - Aragorn;bow
abehntxy;4;In the movie, to which locations did the Rangers of Ithilien bring Frodo and Sam?;Henneth Annûn;Mount Doom;Osgiliath;Cirith Ungol;AC
abehot;3;Which of the following items was NOT among what the Mouth of Sauron showed to Aragorn & Co.?;Frodo's cloak he got in Lothlórien;Frodo's Mithril coat;Sam's sword;Frodo's sword Sting;D
abeijt;3;Who stabs Saruman in the books?;Théoden;Aragorn;Gríma;Gandalf;C
abeimt;3;Who did Gandalf name a "witless worm"?;Gríma Wormtongue;Barliman Butterbur;Bill Ferny;Bodo Proudfoot;A
abeimtx;3;Gríma refers to Gandalf as "lathspell". What does this mean?;Sorcerer;Ill-news;Bad guest;Dark prophecies;B
abeimtx;3;What was the name given to Gandalf by the Rohirrim?;Mithrandir;Stormcrow;Incánus;Tharkún;B
abeimtx;3;Who does Gríma Wormtongue name "Lathspell"?;Aragorn;Gimli;Saruman;Gandalf;D
abeinotx;3;Why did Aragorn decide to attack Mordor at the Black Gate?;They outnumbered the troops of Mordor and there were good changes on winning.;He wanted to avoid another battle in Minas Tirith and instead fight at the Black Gate.;He wanted to distract Sauron so he does not notice Frodo and Sam traversing Mordor.;He wanted to take control of teh Black Gate and thus avoid Sauron leaving Mordor.;C
abeint;3;By which derogatory name does Denethor name Gandalf when he rushes off to cremate himself?;Grey Beard;Grey Fool;Old Beard;Old Fool;B
abeint;3;What was Gandalf's gift to Aragorn at his coronation?;Ring of Barahir;Andúril;Sapling of the White Tree;King's Crown;C
abeiot;3;Which of the following are NOT among Sauron's terms for Gondor's surrender?;The Lands from Mordor to the Misty Mountains shall be tributary to Mordor.;Any realms or alliances except Mordor have to be disbanded.;The rabble of Gondor and allies have to withdraw at once beyond the Anduin.;Leaving Middle-earth, especially to the Undying Lands, shall be forbidden.;BD
abeiotx;3;What represented the Dark Lord in parley before the Black Gate?;The Eye of Sauron;The Tongue of Sauron;The Mouth of Sauron;The Teeth of Sauron;C
abeioux;1;Who cut the One Ring from Sauron's hand?;Isildur
abeioux;3;Who cut the One Ring from Sauron's finger?;Elendil;Elrond;Anárion;Isildur;D
abeknoqtu;3;How big were the Palantíri?;Spheres with a diameter of about 10 inch (~25 cm);Slightly elliptical in shape with greater diameter 14 inch (~35 cm);Spheres with a diameter of about 1 feet (~30 cm);Their sizes varied largely.;D
abektx;1;True or false: Strider is also known as Aragorn.;true
abektx;3;What is another name for Weathertop?;Amon Dîn;Amon Gwareth;Amon Lhaw;Amon Sûl;D
abektx;3;Who is the proprietor of the Prancing Pony?;Bill Ferny;Tom Bombadil;Fredegar Bolger;Barliman Butterbur;D
abelntx;1;True or false: Boromir wanted to take the One Ring to Isengard.;false
abelt;1;True or false: Aragorn did not want to go through Moria.;true
abelt;3;Who eventually inherits the Ring of Barahir, a heirloom of the First Age?;Boromir;Elrond;Galadriel;Aragorn;D
abemnt;1;True or false: Faramir marries Éowyn.;true
abemnt;3;The Red Arrow was a symbol to carry out a very specific message in Rohan, which one?;"Gondor calls for aid!";"A new king has been crowned!";"The king has died!";"An enemy army is attacking!";A
abemnt;3;What animal heralded the appearance of the Rohirrim to the Battle of the Pelennor Fields?;Eagle;Seagull;Rooster;Raven;C
